no;gambar;teks_asli;alergen_asli;status_halal
1;1.jpg;Tepung terigu, ikan tengiri, bawang, cabai, penyedap rasa, garam, gula, minyak, kencur, & daun jeruk;"ikan;gandum & gluten";Halal Aman
2;2.jpg;Wheat Flour, Sugar, Vegetable Oil, Cocoa Powder, Full Cream Milk, Banana Powder, Emulsifier (Soya Lecithin (E322)), Salt, Caramel Colour (E150d), Banana Flavor.;"gandum & gluten;susu;kedelai";Titik Kritis
3;3.jpg;Tepung Terigu (36.43%), Tepung Beras, Pati Kentang, Gula Pasir, Bumbu Creamy Rose (6.00%) (Mengandung Susu, Telur, Penguat rasa Mononatrium Glutamat, Pemanis Alami Glikosida Steviol), Minyak Kelapa Sawit, Garam, Penguat rasa Mononatrium Glutamat, Pengatur Keasaman, Pengembang.;"gandum & gluten;susu;telur";Titik Kritis
4;4.jpg;Sugar, Maltodextrin, Acidity Regulator, Konjac Powder, Dietary Fiber, Carrageenan (10.7%), Salt, Synthetic Flavour, Vegetable Stabilizer, Synthetic Food Colour (Tartrazine CI 19140, Brilliant Blue FCF CI 42090). No Preservatives.;-;Titik Kritis
5;5.jpg;Gula, Maltodekstrin, Pengatur Keasaman, Konnyaku Bubuk, Serat Pangan, Karagenan (10.7%), Garam Kalium, Perisa Sintetik, Penstabil Nabati, Pewarna Makanan Sintetik (Tartrazin CI 19140, Biru Berlian FCF CI 42090). Tanpa Pengawet.;-;Titik Kritis
6;6.jpg;Sugar, Maltodextrin, Acidity Regulator, Carrageenan (19%), Konjac Powder, Dietary Fiber, Synthetic Flavour, Synthetic Food Colour Sunset Yellow FCF CI 15985.;-;Titik Kritis
7;7.jpg;Sugar, Maltodextrin, Acidity Regulator, Carrageenan (19%), Konjac Powder, Dietary Fiber, Synthetic Flavour, Synthetic Food Colour Sunset Yellow FCF CI 15985.;-;Titik Kritis
8;8.jpg;Sari Kelapa (50%), Air, Gula, Perisa Sintetik Cocopandan, Pengatur Keasaman (Asam Sitrat), Pengawet Natrium Benzoat.;-;Titik Kritis
9;9.jpg;Potatoes (60,9%), Palm Olein Oil, Garlic Chicken Seasoning (contains Sugar, Flavor Enhancer Monosodium Glutamate, Spices (Garlic, Pepper, Chili), Salt, Leek Flake, Soy Sauce (Contain Soy), Flavor Enhancer Disodium 5' Ribonucleotide (E635), Chicken Powder, Celery Powder).;kedelai;Titik Kritis
10;10.jpg;Bananas, Palm Oil, Sugar, Flavors.;-;Titik Kritis
